,speech
5404," Muchas gracias, diputada Bernal Martínez. Insértese íntegra la intervención de la diputada Bernal Martínez en el Diario de los Debates. Enviamos un cordial saludo a los alumnos y alumnas de la licenciatura en derecho del Centro Universitario de América Ixtapaluca, invitados por el diputado Evaristo Lenin Pérez Rivera. Bienvenidos."
5405," Con su venia, presidenta. Compañeras y compañeros legisladores, un derecho generado no debe ser arrebatado. En 2016 este Congreso aprobó reformas a nuestra Carta Magna respecto a la desindexación del salario mínimo, es decir, que el salario mínimo dejó de funcionar como unidad de medida para el cobro de multas, derechos, sanciones, entre otras, estableciéndose la figura de la Unidad de Medida y Actualización, conocida como UMA. "
5406," Muchas gracias, diputado Baldenebro. Tiene la palabra, la diputada Martha Hortencia Garay Cadena, del Grupo Parlamentario del Partido Revolucionario Institucional."
5407," Con su venia, señora presidenta. Compañeras y compañeros diputados. El asunto que hoy discutimos reviste singular relevancia para un sector importante de la sociedad mexicana como son nuestros maestros jubilados y pensionados."
5408,"Muchas gracias, diputada Garay Cadena. Tiene la palabra el diputado Ricardo García Escalante, del Grupo Parlamentario del Partido Acción Nacional."
5409," Con su venia, diputada presidenta. Diputadas y diputados. En Acción Nacional queremos aprovechar la discusión de este punto de acuerdo para manifestar nuestra preocupación por la situación de seguridad social en nuestro país."
5410," Muchas gracias, diputado García Escalante. Tiene la palabra el diputado Edelmiro Santiago Santos Díaz, del Grupo Parlamentario de Morena."
5411,"Con su venia, presidenta. Buenas tardes, compañeros, buenas tardes a todos los maestros de México, buenas tardes a todos los jubilados y pensionados. Las pensiones son una parte esencial de cualquier esquema de la seguridad social, la conquista de este derecho es uno de los logros más destacados del Movimiento Obrero Mundial."
5412," Muchas gracias, diputado Santos Díaz. Consulte la Secretaría, en votación económica, si este asunto se encuentra suficientemente discutido."
5413,"En votación económica, se consulta a la asamblea si se encuentra suficientemente discutido. Las diputadas y los diputados que estén por la afirmativa sírvanse manifestarlo (votación). Gracias. Las diputadas y los diputados que estén por la negativa sírvanse manifestarlo (votación). Señora presidenta, mayoría por la afirmativa."
5414," Suficientemente discutido. Consulte la Secretaría a la asamblea, en votación económica, si se aprueba el acuerdo."
5415," En votación económica, se pregunta si se aprueba el acuerdo. Las diputadas y los diputados que estén por la afirmativa sírvanse manifestarlo (votación). Gracias. Las diputadas y los diputados que estén por la negativa sírvanse manifestarlo (votación). Señora presidenta, mayoría por la afirmativa."
5416, Aprobado. Comuníquese.
5417," Tiene la palabra el diputado Armando Tejeda Cid hasta por cinco minutos, para presentar proposición con punto de acuerdo por el que se exhorta a la Secretaría de Seguridad y Protección Ciudadana, a aplicar los controles de confianza respectivos, suscrito por diputados integrantes del Grupo Parlamentario del Partido Acción Nacional."
5418," Diputadas y diputados, el Grupo Parlamentario de Acción Nacional acude a esta tribuna para presentar un punto de acuerdo sobre uno de los temas más importantes de este país; la seguridad pública."
5419," Muchas gracias, diputado Tejada Cid. Informo a la asamblea que se ha presentado ante esta Presidencia propuesta de modificación al punto de acuerdo, en términos del artículo 113, numeral 1, fracción IV, del Reglamento de la Cámara de Diputados. Proceda la Secretaría a dar cuenta de ella."
5420, Propuesta de modificación al punto de acuerdo del Grupo Parlamentario del Partido Acción Nacional.
5421," Para los efectos del artículo 100, numeral 2 del Reglamento de la Cámara de Diputados, consulte la Secretaría a la asamblea, en votación económica, si se considera de urgente resolución con la modificación propuesta."
5422," Para los efectos del artículo 100 del Reglamento de la Cámara de Diputados, se pregunta a la asamblea si se considera de urgente resolución con la modificación propuesta. Las diputadas y los diputados que estén por la afirmativa sírvanse manifestarlo (votación), gracias. Las diputadas y los diputados que estén por la negativa sírvanse manifestarlo (votación), gracias. Señora presidenta, mayoría por la afirmativa."
5423," De conformidad con el artículo 113, numeral 1, fracción I del Reglamento de la Cámara de Diputados, se otorgará a los grupos parlamentarios el uso de la palabra, hasta por tres minutos."
5424,"Con su venia, señora presidenta. Hoy más que nunca, en un periodo de transición democrática que culminó y se consolidó el día primero del presente mes con la toma de protesta en este recinto por parte del licenciado André Manuel López Obrador, como presidente electo de los Estados Unidos Mexicanos, resulta fundamental dar certeza y confianza a millones de electores que decidieron el rumbo que tomaría el país."
5425," Muchas gracias, diputada Gómez Ordaz. Tiene la palabra la diputada Claudia Reyes Montiel, del Grupo Parlamentario del Partido de la Revolución Democrática."
5426,"Con su venia, diputada presidenta. Compañeros legisladores, el pasado primero de diciembre Alfonso Durazo Montaño fue nombrado titular de la recién creada Secretaría de Seguridad y Protección Ciudadana."
5427," Muchas gracias, diputada Reyes Montiel. Tiene la palabra la diputada Julieta Macías Rábago del Grupo Parlamentario Movimiento Ciudadano."
5428," Con su permiso, presidenta. Compañeras y compañeros, los controles de confianza dan legitimidad y credibilidad frente a la sociedad para acreditar los procesos de selección de aspirantes o quienes sustenten un cargo en materia de seguridad pública, indispensable para contrarrestar la mala percepción que actualmente existe en las sociedades hacia las instituciones."
5429," Muchas gracias, diputada Macías Rábago. Tiene la palabra, el diputado Santiago González Soto, del Grupo Parlamentario del Partido del Trabajo."
5430," Con la venia de la Presidencia. Los policías están para cuidarnos, no para robarnos."
5431," Muchas gracias, diputado González Soto. Tiene la palabra la diputada Norma Adela Guel Saldívar, del Grupo Parlamentario del Partido Revolucionario Institucional."
5432," Con su permiso, diputada presidenta. Compañeras y compañeros diputados. Contar con policías e instancias de seguridad pública confiables y profesionales no sólo continúa siendo una de las principales demandas de los mexicanos, también es una de las promesas de campaña más importantes del gobierno entrante."
5433," Compañera diputada, su tiempo se ha agotado."
5434,"Termino, diputada presidenta. Por ello, los diputados del Grupo Parlamentario del Partido Revolucionario Institucional estamos a favor del presente punto de acuerdo. Es cuanto, diputada presidente."
5435,Muchas gracias diputada Guel Saldívar.
5436," Con su permiso, diputada presidenta. Señoras y señores diputados, la inseguridad es un tema que azota con singular saña a nuestro país."
5437," Muchas gracias, diputada Guzmán Avilés. Tiene la palabra la diputada Esmeralda Moreno Medina, del Grupo Parlamentario del Partido Encuentro Social."
5438,"Con su venia, presidenta. Hago uso de la máxima tribuna de la nación para fijar la postura de nuestra bancada legislativa sobre el punto de acuerdo de urgente y obvia resolución, por el que al titular de la Secretaría de Seguridad Pública y Protección Ciudadana, tanto él en su calidad de titular de dicha dependencia como su equipo de trabajo den a conocer a la opinión pública, en un tiempo razonable, los resultados de los exámenes
de control de confianza, tal y como lo dispone la Ley General del Sistema Nacional de Seguridad Pública."
5439," Muchas gracias, diputada Moreno Medina. Tiene la palabra el diputado Jesús de los Ángeles Pool Moo, del Grupo Parlamentario de Morena."
5440," Con su venia, señora presidenta. A todos los y las televidentes que nos siguen a través del Canal del Congreso. Para Morena la seguridad pública es la obligación primordial del Estado. Sin seguridad no existe confianza ni para ir a la escuela ni para salir a las calles ni para invertir a gran escala. Sin embargo, la confianza es algo que las instituciones han perdido y que la ciudadanía reclama."
5441," Muchas gracias, diputado Pool Moo. Consulte la Secretaría, en votación económica, si este asunto se encuentra suficientemente discutido."
5442," En votación económica se consulta a la asamblea si se encuentra suficientemente discutido. Las diputadas y los diputados que estén por la afirmativa sírvanse manifestarlo (votación). Gracias. Las diputadas y los diputados que estén por la negativa sírvanse manifestarlo (votación). Mayoría por la afirmativa, presidenta."
5443," Suficientemente discutido. Consulte la Secretaría a la asamblea, en votación económica, si se aprueba el acuerdo."
5444," En votación económica se pregunta si se aprueba el acuerdo. Las diputadas y los diputados que estén por la afirmativa sírvanse manifestarlo (votación). Gracias. Las diputadas y los diputados que estén por la negativa sírvanse manifestarlo (votación). Mayoría por la afirmativa, presidenta."
5445," Aprobado. Comuníquese. ¿Con qué objeto, señor diputado? Sonido, por favor, en la curul del diputado Javier Hidalgo."
5446, (desde la curul): Le agradezco mucho. Para comentar un hecho muy grave. Hoy en la mañana un ciclista que circulaba por la ciclovía de Revolución se encontró con un automovilista que estaba invadiendo la ciclovía...
5447," Compañero diputado, permítame usted un momento. Yo le rogaría que cuando concluyan los puntos del orden del día, podamos darles uso de la palabra para que usted exprese este asunto tan delicado. Si fuera tan amable. Gracias."
5448," Tiene la palabra, hasta por cinco minutos, el diputado Brasil Alberto Acosta Peña, para presentar proposición con punto de acuerdo por el que se exhorta al Ejecutivo federal a actuar con transparencia y hacer pública la ruta que se ha planteado para la cancelación de la construcción del Nuevo Aeropuerto Internacional de México en Texcoco, suscrito por diputados integrantes del Grupo Parlamentario del
PRI."
5449,"Con su permiso, presidenta. Compañeros y compañeras legisladores, pese a que instituciones especializadas en aeronáutica, organismos empresariales y sectores importantes de la sociedad alertaron que sería un error y una medida irresponsable dar por concluida la construcción del Nuevo Aeropuerto Internacional de México en Texcoco, el pasado 29 de octubre se anunció su cancelación."
5450," Muchas gracias, diputado Acosta Peña. Para los efectos del artículo 100, numeral 2 del Reglamento de la Cámara de Diputados, consulte la Secretaría a la asamblea, en votación económica, si este asunto se considera de urgente resolución. "
5451," Se consulta a la asamblea, si se considera de urgente resolución. Las diputadas y los diputados que estén por la afirmativa sírvanse manifestarlo (votación), gracias. Las diputadas y los diputados que estén por la negativa sírvanse manifestarlo (votación). Señora presidenta, mayoría por la afirmativa."
5452, Se considera de urgente resolución.
5453,"Muchas gracias, con su venia, señora presidenta. La transparencia en la toma de decisiones se ha convertido en una de las condiciones fundamentales de las políticas públicas. Esta premisa adquiere una mayor relevancia cuando se trata de la toma de decisión en torno a las finanzas nacionales."
5454," Compañero diputado, su tiempo se ha agotado."
5455,"Sí, presidenta, un momento. Compañeras, con nuestro voto a favor del presente punto de acuerdo para exhortar al titular del Poder Ejecutivo federal para que no se ponga en riesgo la estabilidad económica y la solidez de las finanzas públicas que actualmente hay en el país. Es cuanto, señora presidenta. Muchas gracias."
5456," Muchas gracias, diputado Alcántara. Tiene la palabra la diputada Norma Azucena Rodríguez Zamora, del grupo Parlamentario del Partido de la Revolución Democrática, hasta por tres minutos."
5457,"Con su venia, presidenta. Compañeras y compañeros legisladores, el Grupo Parlamentario del PRD respalda la propuesta que está a discusión, porque la cancelación de la construcción de Nuevo Aeropuerto Internacional de la Ciudad de México, tendrá graves repercusiones en la economía nacional."
5458,"Muchas gracias, diputada Rodríguez Zamora."
5459," Con su venia, presidenta. Compañeros diputadas y diputados. Recién comienza un nuevo sexenio, el primero de diciembre tomó protesta el nuevo titular del Poder Ejecutivo federal, quien este recinto legislativo manifestó que las cosas iban a cambiar."
5460," Muchas gracias, diputado Falomir Saenz. Tiene la palabra el diputado Emilio Manzanilla Téllez, del Grupo Parlamentario del Partido del Trabajo, hasta por tres minutos."
5461,"El proyecto de Texcoco es un monumento a la corrupción. Diputados del PRI, se debe tener mucho cinismo para seguir defendiendo el proyecto de Texcoco.  La honestidad es la mejor política. Benjamín Franklin."
5462," Compañero diputado, su tiempo se ha agotado."
5463,... sea otro milagro de la cuarta transformación. La trampa está también en que para vivir...
5464," Compañero diputado, su tiempo se ha agotado."
5465,"... controversias se sometió a los tribunales de Nueva York. Es cuanto, diputada presidenta."
5466," Muchas gracias, diputado Manzanilla Téllez. Tiene la palabra el diputado José Luis García Duque, del Grupo Parlamentario del Partido Encuentro Social, hasta por tres minutos."
5467,"Con la venia, presidenta. Vemos con algo de sorpresa que sean ahora los compañeros del Revolucionario Institucional quienes pidan que el gobierno federal entregue datos, detalles y calendarios de acciones sobre el proyecto del Aeropuerto de Texcoco. Que nadie se sorprenda."
5468," Muchas gracias, diputado García Duque. Se encuentra en este recinto el presidente municipal de Cozumel, Quintana Roo, licenciado Pedro Óscar Joaquín Delbouis, bienvenido. Tiene la palabra la diputada Soraya Pérez Munguía, del Grupo Parlamentario del Partido Revolucionario Institucional, hasta por tres minutos."
5469,"Con su permiso, señora presidente. Compañeras y compañeros diputados, la cancelación de la construcción del nuevo aeropuerto es una mala decisión. Desde un principio los legisladores del Grupo Parlamentario del PRI advertimos los riesgos y los costos de esta terrible decisión."
5470," Muchas gracias, diputada Pérez Munguía. Tiene la palabra la diputada Karen Michel González Márquez, del Grupo Parlamentario del Partido Acción Nacional, hasta por tres minutos."
5471," Con su permiso, presidenta. Diputadas, diputados, como bien lo advertimos en Acción Nacional, la cancelación de la construcción del nuevo aeropuerto se está convirtiendo en un serio problema que el actual gobierno tendrá que resolver. Y eso pasa por decisiones ocurrentes y no con la seriedad debida."
5472," Muchas gracias, diputada González Márquez. Tiene la palabra, el diputado Mario Delgado Carrillo, del Grupo Parlamentario de Morena, hasta por tres minutos."
5473," Con su venia, presidenta. Ahora resulta que los autores del Fobaproa vienen a amenazar aquí que estamos a punto de hacer otro Fobaproa. No, no, no. Hay una enorme diferencia. Es falso que se estén utilizando recursos públicos para esta operación."
5474,(desde la curul). Presidenta.
5475,"Permítame, señor diputado Delgado. Diputado Ochoa, ¿con qué objeto? Sonido a la curul del diputado Ochoa, por favor."
5476,"(desde la curul): Presidenta, muchas gracias. Preguntarle al señor coordinador Mario Delgado si me permite hacerle una pregunta para entender su explicación."
5477,"Sí, adelante, diputado, con mucho gusto."
5478,"Adelante, diputado Ochoa."
5479,"(desde la curul): Señor coordinador, usted estaba explicando cómo el ingreso que tiene el gobierno de la República a futuro por el impuesto que pagamos quienes usamos el aeropuerto, digamos que se estableció como respaldo para la emisión de esos bonos que ahora se van a prepagar, pero tenía como propósito la construcción de una obra de infraestructura aeroportuaria a partir de la cual se iba entonces a genera flujo económico a futuro."
5480,"Gracias, diputado. Me preocupa que, con los cargos que ha tenido usted en la administración pública, no entienda cómo es una emisión de bonos. No se tira ese dinero. Estás pagando un crédito por adelantado de los recursos que tú recibiste. No se tira absolutamente nada."
5481," A ver, permítanme un momento, por favor. Solamente una aclaración pertinente de orientación a la asamblea: cuando un legislador o legisladora desea hacer una pregunta y esta es aceptada por quien está interviniendo, el reloj parlamentario se detiene en tanto responde a esa pregunta el o la oradora. Ese fue el momento que vivimos hacemos unos cuantos instantes."
5482,"(desde la curul): Gracias, por alusiones, presidenta. Con el respeto al señor coordinador y a los cargos que él ha ocupado, y por la preparación académica que le reconozco que tiene, él sabe que esos recursos tenían como propósito sí la construcción de una obra de infraestructura que le dejara al país la posibilidad de tener empleos, ingresos y desarrollo económico."
5483,"Gracias, diputado Ochoa. La diputada Michel González."
5484,"(desde la curul): Por alusiones, presidenta."
5485, El diputado Elías Lixa.
5486,"(desde la curul): Para hechos, presidenta. Ha aquí expuesto de manera muy simplista el diputado Delgado, una transacción que dice que no le va a costar al país."
5487, Tiene la palabra la diputada Teresita de Jesús Vargas.
5488,"(desde la curul): Muchas gracias, presidenta. Únicamente para contestarle a la diputada del PAN que se pregunta con qué cara vamos a salir a buscar inversiones. Con la cara de la honestidad, compañeros, que es una cara que ni los gobiernos del PAN ni los gobiernos del PRI conocieron en sus gobiernos. Hablan de demagogia y de etiquetar a los mexicanos, cuando ellos fueron los principales."
5489," Gracias, diputada Vargas. Tiene la palabra la diputada Hildelisa González Morales."
5490," (desde la curul): Hay un proverbio que dice que de la abundancia del corazón habla la boca, y yo veo en lo que ustedes están diciendo, deseos insanos. "
5491, Tiene la palabra el diputado Samuel Herrera Chávez.
5492,"(desde la curul): Con su permiso, diputada presidenta. Primeramente, para felicitar a nuestro coordinador Mario Delgado, por su gran acertación sobre esta explicación del aeropuerto."
5493," Gracias, diputado Herrera Chávez."
5494," (desde la curul): Gracias, presidenta. Nada más responder a la compañera de Morena, que su cara de honestidad no ha evitado que el peso esté... que el dólar, perdón, esté casi a 21, y tampoco ha evitado la caída de la Bolsa Mexicana."
5495," Tiene la palabra la diputada Marcela Guillermina Velasco González. Por favor, sonido en la curul de la diputada Velasco."
5496," (desde la curul): Con su permiso, presidenta. Se canceló la construcción del Nuevo Aeropuerto Internacional de México en Texcoco por un proyecto inviable e inseguro, que solo existe en el imaginario de quien encabeza este nuevo gobierno."
5497," Gracias, diputada Velasco. Tiene la palabra el diputado Miguel Alonso Riggs Baeza."
5498,"(desde la curul): Gracias, compañera presidenta diputada. Yo nada más para comentarles y hacer una reflexión. Si es que existe tal grado de corrupción, entonces por qué no proponen hacer un corte administrativo y levantar una auditoría exhaustiva y profunda. Cuándo propusieron esto."
5499," Señor diputado, su tiempo se ha agotado."
5500,(desde la curul): Un segundo. Que es un metro y medio de un simple tezontle...
5501," Señor diputado, su tiempo se ha agotado."
5502,"(desde la curul): ...para que se den cuenta que está sobre firme. Dense una vuelta, hombre, dense una vuelta, para..."
5503," Señor diputado, su tiempo se ha agotado. Tiene la palabra el diputado Pablo Gómez Álvarez."
5504,"(desde la curul): Gracias, presidenta. Creo que lo que estamos viendo y lo que vamos a seguir viendo con mayor claridad los próximos días y semanas y quizá meses, es que la decisión de construir un aeropuerto fabuloso, cinco cuadras adelante del actual aeropuerto, que tiene un inmenso valor solo como aeropuerto, la decisión de abandonar ese aeropuerto para construir uno fabuloso cinco cuadras adelante, fue una de las peores decisiones que hayan tomado
los gobiernos mexicanos en materia de obra pública."
5505," Gracias, diputado Gómez. Tiene la palabra la diputada Xochitl Zagal Ramírez."
5506,"Están muy preocupados el señor de los taxis, los creadores del Fobaproa, en espantar las inversiones en el país."
5507, Tiene la palabra el diputado Jorge Arturo Espadas Galván.
5508," (desde la curul): Muchas gracias, presidenta. Trataré de ser muy breve. Me hubiera gustado escuchar una explicación, sí, de corte neoliberal que nos dio el diputado coordinador de la fracción mayoritaria. Pero una explicación que no entendiera yo, que entendiera el pueblo, porque a ellos nos debemos. "
5509," Gracias, diputado Espadas. Tiene la palabra la diputada Patricia Terrazas."
5510," (desde la curul): Buenas tardes. Solo quisiera hacer tres precisiones. La primera es que el TUA es una tarifa de uso de aeropuerto, TUA, tarifa. No es derecho ni es impuesto. Es una precisión. "
5511," Muchas gracias, diputada Terrazas. Tiene la palabra el diputado Maximiliano Ruiz, sonido a la curul del diputado Ruiz, por favor."
5512,"(desde la curul): Gracias, señora presidenta. La verdad es que todo el alegato redunda alrededor de 100 mil millones de pesos, que es mucho dinero, que supuestamente están en riesgo de perderse y tenemos todo el derecho de estar preocupados por ello. "
5513," Gracias, diputado Ruiz.  Tiene la palabra, la diputada Soraya Pérez Munguía."
5514," (desde la curul): Gracias, con su permiso, presidenta. Por buenas intenciones y con buenas ganas no se logra la estabilidad. Tan no se logra que ya un grupo importantísimo de inversionistas rechazaron la primera recompra de mil 800 millones de dólares. Y ahora, ¿de dónde va a salir el dinero para recomprar el resto de la deuda? Esa es mi pregunta. Seguro del erario público. O sea, nos va a costar más de lo que nos imaginamos. Lo que pedimos es
transparencia y que nos digan cuánto realmente va a costar."
5515," Gracias, diputada Pérez Munguía. Tiene la palabra, la diputada Ruth Salinas Reyes."
5516," (desde la curul): Gracias, presidenta. Aquí hemos escuchado el día de hoy que vamos a ser más felices. Se ha comentado que tendremos un mejor México, pero la pregunta es ¿cómo? Estoy segura de que ni siquiera las diputadas y diputados de Morena hoy saben cómo va a ser la ruta en que se construya este aeropuerto del que tanto se habla."
5517,"Gracias, diputada. Tiene la palabra la diputada Margarita García García."
5518,"(desde la curul): Con su permiso, diputada presidenta. Yo le quisiera pedir a todos los señores diputados que se acostumbraron a pisotear a pueblo, que asimilen que hoy el pueblo decide lo que vamos a hacer. "
5519,"Permítame un momento, señora diputada. Ruego atentamente a la asamblea escuche con respeto a la oradora. Adelante, diputada."
5520,"(desde la curul): ... Y si nos preguntamos de dónde va a salir, pues decomisémosles todos los bienes a estos rateros y sinvergüenzas que ustedes solaparon de las pensiones de los expresidentes, de todo lo que se han robado, nos robaron más. ¿Por qué tanta preocupación si se va a perder?"
5521,"Señora diputada, su tiempo se ha agotado."
5522,"(desde la curul). Además, los señores, ustedes, nos mandaron gente que supuestamente tenía ya conocimiento. "
5523,"Señora diputada, su tiempo se ha agotado."
5524,"(desde la curul): Entonces no sean hipócritas, enfréntense al pueblo de México y díganle que lo que quieren es dinero, señores y señoras diputadas."
5525,"Diputada, su tiempo se ha agotado. Muchas gracias, diputada García García. Tiene la palabra el diputado Fernando Galindo Favela. Sonido por favor a la curul del diputado Galindo Favela."
5526,"(desde la curul): Gracias, presidenta. Yo creo que vale la pena clarificarles a mis compañeras y a mis compañeros diputados que lo que están haciendo sí tiene un costo fiscal importante, porque el fideicomiso con el que se está pretendiendo pagar estos bonos tiene recursos del TUA y también tiene recursos fiscales que aprobó la Cámara de Diputados todos los años."
5527," Gracias, diputado Galindo. Tiene el uso de la palabra la diputada Ana Lilia Guillén Quiroz. Sonido, por favor, a la curul de la diputada Guillén."
5528,"(desde la curul): Con su venia, señora presidenta. Cuando escucho a los compañeros quejarse de que los mercados internacionales van a caer, me confirman que los últimos cinco gobiernos gobernaron para los mercados internacionales, no para los mexicanos, de tal manera que se repartieron las riquezas, y lo tenemos en cuanto a la minería, las playas, en la energía, los pozos petroleros que hoy detentan particulares, que en este momento son, pero que
fueron funcionarios públicos."
5529," Gracias, diputada Guillén. Tiene el uso de la palabra el diputado Pedro Pablo Treviño Villarreal."
5530,"(desde la curul): Con su permiso, presidenta. No se equivoquen, compañeros, nosotros queremos que a México le vaya bien, no se equivoquen, para empezar."
5531," Gracias, diputado Treviño. Tiene el uso de la palabra el diputado Mario Delgado Carrillo."
5532," (desde la curul): Gracias, presidenta. Nada más algunos comentarios adicionales."
5533," Señor diputado Delgado, su tiempo se ha agotado."
5534,"(desde la curul): Termino. Que precisamente la gente votó por eso, porque cambie la economía y se empiece a ver, como dice nuestro presidente, primero por los pobres. Gracias."
5535," Consulte la Secretaría, en votación económica si se encuentra suficientemente discutido. Consulte la Secretaría, por favor. Vamos a consultar si está suficientemente discutido."
5536," En votación económica se consulta a la asamblea si se encuentra suficientemente discutido. Las diputadas y los diputados que estén por la afirmativa sírvanse manifestarlo (votación) Gracias. Las diputadas y los diputados que estén por la negativa sírvanse manifestarlo (votación). Señora presidenta, mayoría por la afirmativa."
5537,"A ver, señora diputada secretaria, usted me ha afirmado que la mayoría está por la afirmativa. Consulte la Secretaría, en votación económica, si se aprueba el acuerdo."
5538," En votación económica se pregunta si se aprueba el acuerdo. Las diputadas y los diputados que estén por la afirmativa sírvanse manifestarlo (votación). Gracias. Las diputadas y los diputados que estén por la negativa sírvanse manifestarlo (votación). Gracias. Señora presidente, mayoría por la negativa."
5539," Se desecha. Compañeros diputados, solamente les recuerdo que cuando la Secretaría manifiesta duda del sentido de la votación económica en el pleno, es cuando se procede a abrir el tablero de votación. La Secretaría contundentemente ha afirmado que la mayoría estuvo porque se deseche este punto de acuerdo."
5540," En virtud de considerarse un asunto de suma relevancia, consulte la Secretaría a la asamblea, en votación económica, si autoriza turnar de inmediato a la Comisión de Hacienda y Crédito Público la ratificación de los nombramientos de los empleados superiores de Hacienda que enviará a esta soberanía el presidente de la República, licenciado Andrés Manuel López Obrador."
5541," En votación económica, se consulta a si se autoriza turnar de inmediato a comisiones los nombramientos de los empleados superiores de Hacienda, que remitirá a esta soberanía el presidente de la República, licenciado Andrés Manuel López Obrador. Las diputadas y los diputados que estén por la afirmativa sírvanse manifestarlo (votación). Gracias. Las diputadas y los diputados que estén por la negativa sírvanse manifestarlo (votación). Señora
presidente, mayoría por la afirmativa."
5542," Se autoriza. El turno correspondiente se formalizará en la próxima sesión y se exhorta respetuosamente al Ejecutivo federal, a remitir dichos nombramientos a la brevedad posible."
5543,(desde la curul): Señora presidenta.
5544," Señor diputado, ¿con qué objeto?"
5545,"(desde la curul): Presidenta, solamente quisiera recordarle que había solicitado la palabra."
5546," Diputado Hidalgo, tiene usted toda la razón. Yo me comprometí con usted a darle el uso de la palabra cuando concluyese el desahogo del orden del día. Adelante, por favor."
5547,"(desde la curul): Gracias, presidenta. Hoy por la mañana un ciclista tuvo que salir del carril confinado sobre avenida Revolución, a la altura de San Pedro de los Pinos, ya que un camión obstruía su paso. Un automovilista lo atropello y murió."
5548," Señor diputado, su tiempo se ha agotado."
5549," (desde la curul): ... a designar presupuesto para infraestructura que sea equitativa y donde se proteja la vida de los más vulnerables, los peatones y ciclistas. No más ciclistas muertos. Muchas gracias."
5550," Gracias, diputado. Diputada Alejandra Morlan, por un minuto desde su curul."
5551,"(desde la curul): Gracias, presidenta. A mí me gustaría por favor manifestar mi preocupación a nombre de todo el sector turismo, también turisteros del país."
5552," Gracias, diputada."
5553," En términos de los artículos 100 y 102 del Reglamento de la Cámara de Diputados, las iniciativas y proposiciones contenidas en el orden del día serán turnadas a las comisiones que correspondan, publicándose el turno en Gaceta Parlamentaria."
5554,"(17:28 horas): Se levanta la sesión y cito para la que tendrá lugar el próximo martes 11 de diciembre de 2018, a las 11 horas. El registro de asistencia estará disponible desde las 9 horas."
5555,
5556, Pido a la Secretaría que haga del conocimiento de esta Presidencia el resultado del cómputo de asistencia.
5557,"Dunyaska García Rojas: Se informa a la Presidencia que existen registrados previamente 411 diputadas y diputados, por lo tanto, hay quórum."
5558,(11:42 horas): Se abre la sesión.
5559, Consulte la Secretaría a la asamblea si se dispensa la lectura del orden del día.
5560,Dunyaska García Rojas: En votación económica se consulta a la asamblea si se dispensa la lectura del orden del día. Las diputadas y los diputados que se encuentren por la afirmativa favor de manifestarlo (votación).
5561, La lectura.
5562,"Dunyaska García Rojas: Las diputadas y los diputados que estén por la negativa favor de manifestarlo (votación). Diputado presidente, mayoría por la afirmativa."
5563, Gracias.
5564, El siguiente punto del orden del día es la lectura del acta de la sesión del 18 de diciembre del año en curso. Consulte la Secretaría si se dispensa su lectura.
5565,"Dunyaska García Rojas: En votación económica se consulta a la asamblea si se dispensa la lectura del acta de la sesión del 18 de diciembre del año en curso. Las diputadas y los diputados que se encuentren por la afirmativa, favor de manifestarlo (votación). Las diputadas y los diputados que se encuentren por la negativa favor de manifestarlo (votación). Diputado presidente, mayoría por la afirmativa."
5566, Se dispensa la lectura. Está a discusión el acta.
5567,"Dunyaska García Rojas: No habiendo quien haga uso de la palabra, en votación económica se pregunta a la asamblea si se aprueba. Las diputadas y los diputados que estén por la afirmativa favor de manifestarlo (votación). Las diputadas y los diputados que estén por la negativa favor de manifestarlo (votación). Diputado presidente, mayoría por la afirmativa."
5568, Aprobada el acta.
5569," El siguiente punto del orden del día es la lectura del acta de la sesión anterior.  Consulte si se dispensa la lectura, por favor, secretaria."
5570," Por instrucciones de la Presidencia, se consulta a la asamblea, en votación económica, si se dispensa la lectura del acta de la sesión anterior, tomando en consideración que ha sido publicada en la Gaceta Parlamentaria. Las diputadas y los diputados que estén por la afirmativa favor de manifestarlo (votación)."
5571, Se dispensa la lectura. Proceda la Secretaría a poner a discusión el acta.
5572," Está a discusión el acta. No habiendo quien haga uso de la palabra, en votación económica se pregunta si se aprueba. Las diputadas y los diputados que se encuentren por la afirmativa favor de manifestarlo (votación)."
5573, Aprobada el acta.
5574,(desde la curul): Presidente.
5575,Por favor. ¿Con qué objeto?
5576," (desde la curul): Solo hacer una pregunta a la Mesa Directiva, diputado presidente, porque hay mucha inquietud sobre la situación que guarda el inmueble y este recinto por la protesta que hay en el exterior."
5577," Con mucho gusto. Aprobada el acta pensamos pasar a esto antes de la... Señor diputado, señores diputados y diputadas, yo les ruego a los pocos que somos, porque nos costó trabajo llegar, que tomen sus asientos. La situación que rodea al inmueble es muy delicada."
5578," Presidente, si me permite."
5579," Diputada, Dulce María Sauri, tiene usted la palabra el tiempo que necesite."
5580," Gracias, presidente. Para darles la información que seguramente en esta tribuna y en unos cuantos minutos, si el presidente así lo considera, dará el propio diputado Ismael Hernández Deras sobre el incidente suscitado en una de las puertas de acceso a este recinto parlamentario."
5581,(desde la curul): Presidente.
5582,"Señor diputado, ¿con qué objeto? Sonido."
5583,(desde la curul). Para hechos.
5584,"Desde su lugar, como la propia vicepresidenta."
5585,"(desde la curul): No, ella pidió la palabra desde abajo y subió a la tribuna y le pido el uso de la tribuna."
5586,"Ah, sí, perdón, la vicepresidenta. ¿Quiere usted subir a tribuna?"
